Países,Fecha,Incremento Muertos,Muertos,Muertos / millón,Incremento Confirmados,Confirmados,Confirmados / 100.000 - 14 días
Irán [+],04/08/2024,0,146.837,"1.729,45",0.0,7.627.863,0
Islandia [+],04/08/2024,0,186,46624,27.0,210.374,1479
Jamaica [+],04/08/2024,0,3.611,"1.317,88",12.0,157.181,120
Jordania [+],04/08/2024,0,14.122,"1.245,66",0.0,1.746.997,0
Kenia [+],04/08/2024,0,5.689,10733,0.0,344.106,0
Kirguistán [+],04/08/2024,0,1.024,15389,0.0,88.953,0
Camboya [+],04/08/2024,0,3.056,18144,6.0,139.319,5
Kiribati [+],04/08/2024,0,24,19512,0.0,5.085,0
Comoras [+],04/08/2024,0,160,18801,0.0,9.109,0
San Cristóbal y Nieves [+],04/08/2024,0,46,95833,0.0,6.607,0
Corea del Norte [+],04/08/2024,0,74,0,0.0,4.772.813,0
Corea del Sur [+],04/08/2024,0,35.934,69487,0.0,34.571.873,0
Kuwait [+],04/08/2024,0,2.570,53609,0.0,667.290,0
Kazajistán [+],04/08/2024,0,19.072,96027,0.0,1.504.370,0
Laos [+],04/08/2024,0,671,8974,0.0,219.060,0
Líbano [+],04/08/2024,0,10.947,"2.044,64",0.0,1.239.904,0
Santa Lucía [+],04/08/2024,0,410,"2.265,19",0.0,30.282,276
Liechtenstein [+],04/08/2024,0,89,"2.223,72",0.0,21.588,250
Sri Lanka [+],04/08/2024,0,16.907,76309,1.0,672.798,0
Liberia [+],04/08/2024,0,294,5412,0.0,7.930,0
Lesoto [+],04/08/2024,0,709,33570,0.0,36.138,0
Lituania [+],04/08/2024,0,9.810,"3.399,30",807.0,1.369.355,5042
Luxemburgo [+],04/08/2024,0,1.000,"1.487,98",190.0,393.542,5982
Letonia [+],04/08/2024,0,7.475,"3.993,31",0.0,977.765,0
Libia [+],04/08/2024,0,6.437,95571,0.0,507.269,0
Marruecos [+],04/08/2024,0,16.305,44041,0.0,1.279.115,0
Mónaco [+],04/08/2024,0,67,"1.826,31",0.0,17.181,0
Moldavia [+],04/08/2024,2,12.245,"5.053,05",743.0,637.520,5175
Montenegro [+],04/08/2024,0,2.654,"4.192,73",0.0,251.280,0
Madagascar [+],04/08/2024,0,1.428,4939,0.0,68.567,0
Islas Marshall [+],04/08/2024,0,17,41463,0.0,16.297,10976
Macedonia del Norte [+],04/08/2024,0,9.978,"5.463,66",116.0,350.924,1062
Malí [+],04/08/2024,0,743,3285,0.0,33.166,0
Myanmar [+],04/08/2024,0,19.494,36403,26.0,642.885,9
Mongolia [+],04/08/2024,0,2.136,60942,0.0,1.011.489,0
Mauritania [+],04/08/2024,0,997,21604,0.0,63.872,0
Malta [+],04/08/2024,1,922,"1.636,37",80.0,122.796,3887
Mauricio [+],04/08/2024,0,1.073,85091,0.0,328.167,0
Maldivas [+],04/08/2024,0,316,60599,0.0,186.694,0
Malaui [+],04/08/2024,0,2.686,13504,0.0,89.168,0
México [+],04/08/2024,0,334.551,"2.640,39",340.0,7.619.458,95
Malasia [+],04/08/2024,0,37.351,"1.129,83",1.085,5.309.410,779
Mozambique [+],04/08/2024,0,2.252,7021,0.0,233.843,0
Namibia [+],04/08/2024,0,4.108,"1.403,01",0.0,172.533,3
Níger [+],04/08/2024,0,315,1247,0.0,9.518,0
Nigeria [+],04/08/2024,0,3.155,1478,0.0,267.188,0
Nicaragua [+],04/08/2024,0,245,3576,2.0,16.185,9
Países Bajos [+],04/08/2024,0,22.986,"1.281,06",383.0,8.640.008,464
Noruega [+],04/08/2024,0,5.732,"1.032,76",745.0,1.512.647,2571
Nepal [+],04/08/2024,0,12.031,39384,0.0,1.003.450,0
Nauru [+],04/08/2024,0,1,7993,0.0,5.393,0
Nueva Zelanda [+],04/08/2024,16,4.284,81693,1.73,2.639.048,7248
Omán [+],04/08/2024,0,4.628,89586,0.0,399.449,0
Panamá [+],04/08/2024,0,8.748,"1.964,52",0.0,1.044.821,81
Perú [+],04/08/2024,0,220.975,"6.554,11",0.0,4.526.977,0
Papúa Nueva Guinea [+],04/08/2024,0,670,5687,0.0,46.864,0
Filipinas [+],04/08/2024,0,66.864,59748,0.0,4.140.383,0
Pakistán [+],04/08/2024,0,30.656,13245,0.0,1.580.631,0
Polonia [+],04/08/2024,4,120.726,"3.296,64",2.463,6.670.799,1137
Estado de Palestina [+],04/08/2024,0,5.708,"1.042,18",0.0,703.228,0
Palaos [+],04/08/2024,0,10,55556,0.0,6.372,0
Paraguay [+],04/08/2024,0,19.880,"2.667,02",0.0,735.759,0
Catar [+],04/08/2024,0,690,22527,0.0,514.524,0
Rumanía [+],04/08/2024,6,68.825,"3.610,13",4.633,3.541.619,4003
Serbia [+],04/08/2024,0,18.057,"2.733,77",0.0,2.583.470,0
Rusia [+],04/08/2024,10,403.188,"2.755,92",7.777,24.268.728,952
Ruanda [+],04/08/2024,0,1.468,11083,0.0,133.264,0
Arabia Saudita [+],04/08/2024,0,9.646,29980,0.0,841.469,0
Islas Salomón [+],04/08/2024,0,199,28113,0.0,25.954,0
Seychelles [+],04/08/2024,0,172,"1.720,00",0.0,51.886,0
Sudán [+],04/08/2024,0,5.046,11052,0.0,63.993,0
Suecia [+],04/08/2024,28,27.399,"2.596,64",630.0,2.755.181,1137
Singapur [+],04/08/2024,0,2.024,34201,0.0,3.006.155,0
Eslovenia [+],04/08/2024,4,10.083,"4.747,29",148.0,1.356.582,1234
Eslovaquia [+],04/08/2024,1,21.227,"3.913,04",61.0,1.878.002,197
Sierra Leona [+],04/08/2024,0,125,1474,0.0,7.979,0
San Marino [+],04/08/2024,0,126,"3.705,88",0.0,25.292,0
Senegal [+],04/08/2024,0,1.971,11151,0.0,89.485,15
Somalia [+],04/08/2024,0,1.361,7975,0.0,27.334,0
Surinam [+],04/08/2024,0,1.406,"2.238,85",0.0,82.501,0
Sudán del Sur [+],04/08/2024,0,147,1368,0.0,18.823,0
Santo Tomé y Príncipe [+],04/08/2024,0,80,35857,0.0,6.771,0
El Salvador [+],04/08/2024,0,4.230,66457,3.0,201.920,13
Siria [+],04/08/2024,0,3.163,14833,0.0,57.423,0
Eswatini [+],04/08/2024,0,1.427,"1.196,88",0.0,75.356,0
Chad [+],04/08/2024,0,194,1114,0.0,7.702,0
Togo [+],04/08/2024,0,290,3197,0.0,39.530,0
Tailandia [+],04/08/2024,1,34.715,49464,560.0,4.799.180,212
Tayikistán [+],04/08/2024,0,125,1282,0.0,17.786,0
Timor Oriental [+],04/08/2024,0,138,10360,0.0,23.460,0
Turkmenistán [+],04/08/2024,0,0,0,0.0,0,0
Túnez [+],04/08/2024,0,29.423,"2.399,34",0.0,1.153.361,0
Tonga [+],04/08/2024,0,12,11319,0.0,16.976,0
Türkiye [+],04/08/2024,0,101.419,"1.187,96",0.0,17.004.718,0
Trinidad y Tobago [+],04/08/2024,0,4.390,"3.120,11",0.0,191.496,0
Tuvalu [+],04/08/2024,0,1,10000,0.0,2.943,0
Taiwan [+],09/03/2023,0,17.672,75735,0.0,9.970.937,0
Tanzania [+],04/08/2024,0,846,1330,0.0,43.230,0
Ucrania [+],04/08/2024,0,109.920,"2.681,13",171.0,5.532.777,63
Uganda [+],04/08/2024,0,3.632,8554,0.0,172.154,0
Uruguay [+],04/08/2024,0,7.682,"2.160,90",15.0,1.041.346,76
Uzbekistán [+],04/08/2024,0,1.016,2820,0.0,175.081,0
San Vicente y las Granadinas [+],04/08/2024,0,124,"1.188,51",0.0,9.674,0
Venezuela [+],04/08/2024,0,5.856,20766,0.0,552.695,0
Viet Nam [+],04/08/2024,0,43.206,43077,0.0,11.624.000,0
Vanuatu [+],04/08/2024,0,14,4387,0.0,12.019,0
Samoa [+],04/08/2024,0,31,15122,0.0,17.057,0
Yemen [+],04/08/2024,0,2.159,6479,0.0,11.945,0
Sudáfrica [+],04/08/2024,0,102.595,"1.672,13",0.0,4.072.765,0
Zambia [+],04/08/2024,0,4.077,20367,18.0,349.842,36
Zimbabue [+],04/08/2024,0,5.740,35890,0.0,266.386,0
